photo_reference,place_id,height,width,uploader_name,uploader_url
AcYSjRhOddk984l89aAtiJ-_HwkEn3hnMDDCj9IoFdYH15e9vOzCeKAdbuWQdXPMLJCs6ipoZaya3Fs-XjxkEN947FSr2P4idPK76eFy30882YOxYzMG_RUrkunMFjIb3s77yzzyvyB_azlebv6NxY9-kiOX05RvuffuCqOpotbGKKxlU2Hy,ChIJ6QmAe3sVwFQR7KVJoo1dw3k,3264,2448,Southpaw Boxing Media,https://maps.google.com/maps/contrib/117945086218688960223
AcYSjRgPLF2jV4__kapMjiAwbsj2w8zxABTMp21DUC-0gm4A5ZynAaDzt7gT7P7xU3zfw-TOBaV8x7nMzIMFxBHlsDiTvf43QSm0XPdclJwilwiw4kq_4INpMxISD69n60_3PLCRNw2ooqDDku4Ul5a6kWAlL5VUWGab1OmLEKAEoN-uKnbb,ChIJ6QmAe3sVwFQR7KVJoo1dw3k,4032,3024,Lisa Lang,https://maps.google.com/maps/contrib/103504165283142624528
AcYSjRgCdu88BPQ4leLSr970IHlgZNM9_1jYsVJACWSrSwFlEMizeUjHC70H4Ab3gCJ_GiPT9iSP3K7RrkJthF8p5Fa0mz5kbPzHucJjR5Rz9Z5h4L7m9jf6AnLclZbuKywm4u2HHm9DMI0sXAG93kzX12rb0En4wYIdnln2UKoXT_S7OHXA,ChIJ6QmAe3sVwFQR7KVJoo1dw3k,960,1280,Vivacity Spirits LLC,https://maps.google.com/maps/contrib/115877715221268222527
AcYSjRiT-PZzdqpjP1NO0-4aZX0WBBqwtfCurEaQEHZNnGokGTxTb6i_V2JRzDnC2szqXd6VBAOsIpPoNEh9tEE7DaAMqOnQi2BETkwQoclJxAh2H2dd8BsOD-8zdWx2fvPqgVfsd69CS1lX-guCbZVX-IxRnLuNChE-Y5zx5klYCALnTWvO,ChIJsQUl8WI4lVQRH7c1h2mlyxs,1200,1800,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRgk8fUaug-dIaUlE7Y2dFHXqmWYAq2tYvY9AGs8yRXmBPZbr6b9AJCinGJF_FLSG3srE2TDEODQo6gVZ71liU5O0HC4z5iU4PxuLaPAHQQZSPaDcC3UdYJiOZtCLIbm_J7CnoNunHr3qTJdd5QkxSFNIH9KsWpOdCm6LpmYiSlhwyui,ChIJsQUl8WI4lVQRH7c1h2mlyxs,2400,3600,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRh3-dUSAKDqXKnjPDc1tGaeqvPPCg3x34jVr80M5JN_-FI8iFGhDbUZ7JxzD86kUs66etZRr5KqGs-LwD-EIgpSqAGQVQdN7HWtbecoNyP6B72brsIv7af2Kq_YdChEt9nnU5bfHZ2qLLU_T7bZEhicdcKGVU57jlQ4UuBkeIHfsK94,ChIJsQUl8WI4lVQRH7c1h2mlyxs,800,1200,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRgImL6OoDt29txZxmvnqme9m1IcyHdVOuE6r4Ed_rZ7OhSVSI5dJ3xR_ewHtGjqPMGJ885ocwiSGVPGsX9pHvTK7uViF6xrxj0HJMAUnLMif4qTFY-je3kmOLNuOei5FTsQkRceP6M6i3LrVhNXyMRCxHfv9zrSIG5EwHY2eVN1LF-V,ChIJsQUl8WI4lVQRH7c1h2mlyxs,1200,800,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRg2EIRLS6z71Vk2LnnmMFyQBSmENA2vDMGHTUwJmuL9HLHwnufN3gL3T4bkJGP-RbIsSk0CqGGA_gMj9NcHvrjVzUB52KOb4W0WvjTGu29SEzIbTm4_Qg8n4hc24eJbmnfJy0p5MYlEW0q9JNGdEjwqgNj8p3WVT4TS28r8401oLR2N,ChIJsQUl8WI4lVQRH7c1h2mlyxs,1500,2250,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRgWh2HNlKAWtFxWMhXNWCR-Qce15TFpvih5Oh3Cf-mHDSXmiWGpDbYm-jSWraDSXTm3YACxjGhcp4r6c_kjAtK5cTwrwLJnna4vfXA3RG78Qo2u-SNLsDXwENdQ8huenB1crdU8w8LcxvGnWhZE5rsDtOEYmodTzy2JKkuEm99EzOIf,ChIJsQUl8WI4lVQRH7c1h2mlyxs,1800,1200,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
AcYSjRgY6QGflJYwTIhDwRaW6iIciX8-2rTiP-LKnDzPA8XkWvfU5p3GyIzES3GUr0xfq0ySZYZD68rBwZFPBfTcz3HrJ88M5Ki3G3IgnJMXEYedX8yqjAkJOifdWzJkL-QxfiODcaYN19OXXeAzQI_PNNrTmnB3VMbhM24k7rRx7lXc9318,ChIJsQUl8WI4lVQRH7c1h2mlyxs,1600,2400,Pike Road Wines,https://maps.google.com/maps/contrib/112498923855519978563
