,winery,vintage,variety,designation,release_price,rating,title,source,category,AVA,region,province,country,description
54,St. Innocent,2011,Pinot Blanc,Freedom Hill Vineyard,$20,87,St. Innocent 2011 Pinot Blanc Willamette Valley Freedom Hill Vineyard,"Wine Spectator Magazine Issue Feb 28, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Fresh and inviting, with pineapple and melon flavors gliding through the finely textured finish. Drink now. 761 cases made."
55,WillaKenzie,2011,Pinot Blanc,,$21,87,WillaKenzie 2011 Pinot Blanc Willamette Valley,"Wine Spectator Magazine Issue Feb 28, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Light and fresh, with pretty pear and floral flavors, finishing with a citrusy zing. Drink now. 1,000 cases made."
56,Chehalem,2011,Pinot Blanc,Stoller Vineyards,$28,86,Chehalem 2011 Pinot Blanc Dundee Hills Stoller Vineyards,"Wine Spectator Magazine Issue Feb 28, 2013",,Dundee Hills,Willamette Valley,Oregon,US,"Light and tart, lean on balance, with apple and citrus flavors. Drink now. 112 cases made."
57,Erath,2011,Pinot Blanc,Quail Run,$22,86,Erath 2011 Pinot Blanc Southern Oregon Quail Run,"Wine Spectator Magazine Issue Feb 28, 2013",,Southern Oregon,Southern Oregon,Oregon,US,"Light and appealing, with modest apple and floral flavors, echoing delicately on the dry finish. Drink now. 180 cases made."
58,Elk Cove,2011,Pinot Blanc,,$19,85,Elk Cove 2011 Pinot Blanc Willamette Valley,"Wine Spectator Magazine Issue Feb 28, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Light and tart, with lime and lemon flavors on a racy frame. Drink now. 993 cases made."
59,Benton-Lane,2011,Pinot Blanc,,$19,84,Benton-Lane 2011 Pinot Blanc Willamette Valley,"Wine Spectator Magazine Issue Feb 28, 2014",,Willamette Valley,Willamette Valley,Oregon,US,"Light and refreshing, with modest pear and lime flavors. Drink now. 330 cases made."
60,Z'ivo,2011,Pinot Blanc,,$26,84,Z'ivo 2011 Pinot Blanc Eola-Amity Hills,"Wine Spectator Magazine Issue Jun 30, 2013",,Eola-Amity Hills,Willamette Valley,Oregon,US,"Light and sleek, with a racy, metallic edge to the grapefruit flavors. Drink now. 235 cases made."
61,Carabella,2011,Pinot Gris,,$18,90,Carabella 2011 Pinot Gris Chehalem Mountains,"Wine Spectator Magazine Issue Feb 28, 2013",,Chehalem Mountains,Willamette Valley,Oregon,US,"Fresh and vibrant, with a lovely balance of fruit and savory flavors that touch on cantaloupe, lime, rosemary and wet stone, lingering easily on the expressive finish. Drink now through 2015. 900 cases made."
62,Chehalem,2011,Pinot Gris,Ridgecrest Vineyards,$29,90,Chehalem 2011 Pinot Gris Ribbon Ridge Ridgecrest Vineyards,"Wine Spectator Magazine Issue Oct 31, 2013",,Ribbon Ridge,Willamette Valley,Oregon,US,"Sleek and restrained, this is enticing for its pretty pear, melon and floral flavors, dancing lightly through the dry, delicate finish. Drink now through 2016. 200 cases made."
63,Coelho,2011,Pinot Gris,Renovação,$20,90,Coelho 2011 Pinot Gris Willamette Valley Renovação,"Wine Spectator Magazine Issue Sep 30, 2012",,Willamette Valley,Willamette Valley,Oregon,US,"Bright and jazzy, teeming with lemon, lemon blossom, white pepper and almond flavors that linger easily on the citrusy finish. Drink now. 494 cases made."
64,Cristom,2011,Pinot Gris,,$17,90,Cristom 2011 Pinot Gris Willamette Valley,"Wine Spectator Magazine Issue Jun 30, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Fresh and juicy, with vibrant grapefruit, pear and floral flavors, finishing with intensity, length and deftness. Drink now through 2016. 982 cases made."
65,Ancient Cellars,2011,Pinot Gris,Gilt,$16,89,Ancient Cellars 2011 Pinot Gris Willamette Valley Gilt,"Wine Spectator Magazine Issue Feb 28, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Light and soft, with a broad texture and lovely lemon curd and pear flavors, lingering nicely. Drink now. 120 cases made."
66,Chehalem,2011,Pinot Gris,Three Vineyard,$19,89,Chehalem 2011 Pinot Gris Willamette Valley Three Vineyard,"Wine Spectator Magazine Issue Nov 30, 2012",,Willamette Valley,Willamette Valley,Oregon,US,"Fresh and inviting, with pretty pear, almond blossom and tobacco flavors that linger enticingly on the soft finish. Drink now. 2,460 cases made."
67,Del Rio,2011,Pinot Gris,,$16,89,Del Rio 2011 Pinot Gris Rogue Valley,"Wine Spectator Magazine Issue May 31, 2013",,Rogue Valley,Southern Oregon,Oregon,US,"Fresh, vibrant and focused, offering pear, peach and floral flavors that linger enticingly on the dry finish. Drink now. 990 cases made."
68,Erath,2011,Pinot Gris,,$14,89,Erath 2011 Pinot Gris Oregon,"Wine Spectator Magazine Issue Nov 30, 2012",,,,Oregon,US,"Fresh and inviting, with a light and transparent character showing off pear and grapefruit flavors that linger nicely on the finish. Drink now through 2014. 24,800 cases made."
69,Lange,2011,Pinot Gris,Reserve,$24,89,Lange 2011 Pinot Gris Willamette Valley Reserve,"Wine Spectator Magazine Issue Sep 30, 2012",,Willamette Valley,Willamette Valley,Oregon,US,"This fresh and lively version is bright with apple and apple blossom flavors, which remain tangy and refreshing. Drink now. 854 cases made."
70,Pyrenees,2011,Pinot Gris,,$20,89,Pyrenees 2011 Pinot Gris Umpqua Valley,"Wine Spectator Magazine Issue Jun 30, 2013",,Umpqua Valley,Southern Oregon,Oregon,US,"Light and silky, characterized by pretty nectarine and floral flavors, lingering enticingly. Drink now. 233 cases made."
71,Raptor Ridge,2011,Pinot Gris,,$18,89,Raptor Ridge 2011 Pinot Gris Willamette Valley,"Wine Spectator Magazine Issue Sep 30, 2012",,Willamette Valley,Willamette Valley,Oregon,US,"Light and fragrant, offering pear, chamomile and lime blossom flavors that linger easily on the dry finish. Drink now. 1,900 cases made."
